"source_id","city"
"prodoc_602997-ahmedyanov","Бавлы"
"doc_mobile_Id_003339","Бавтугай"
"doc_mobile_Id_093695","Багаевская"
"doc_mobile_Id_327371","Баган"
"doc_mobile_Id_238133","Багдарин"
"prodoc_1035328-sokolov","Багратионовск"
"doc_mobile_Id_242784","Баево"
"doc_mobile_Id_357649","Базарные Матаки"
"doc_mobile_Id_238809","Базарный Карабулак"
"doc_apteka_RPS_31355","Базарный Сызган"
"doc_mobile_Id_028307","Бай-Хаак"
"doc_mobile_Id_091325","Байкалово"
"doc_mobile_Id_201235","Байкальск"
"doc_apteka_RPS_64112","Байкибашево"
"doc_mobile_Id_239106","Байкит"
"prodoc_850327-galiullin","Баймак"
"prodoc_632370-kachurina","Бакал"
"doc_mail_id_m_113151","Бакалы"
"doc_mobile_Id_221862","Баклань"
"doc_mobile_Id_095496","Баксан"
"doc_apteka_RPS_new_15249","Бакчар"
"doc_mobile_Id_212011","Балабаново"
"doc_mobile_Id_099867","Балаганск"
"doc_mobile_Id_108727","Балакирево"
"doc_apteka_RPS_new_01361","Балаково"
"doc_mobile_Id_305432","Балахна"
"doc_mobile_Id_142212","Балахта"
"doc_mail_id_m_152888","Балашиха"
"doc_mobile_Id_215386","Балашов"
"doc_mail_id_m_007057","Балезино"
"prodoc_701130-boeva","Балей"
"doc_mail_id_m_011580","Балтаси"
"doc_mobile_Id_156644","Балтийск"
"doc_apteka_RPS_new_19230","Балтым"
"doc_mobile_Id_214075","Барабинск"
"doc_mobile_Id_244845","Баранчинский"
"doc_mobile_Id_314830","Барвиха"
"doc_mobile_Id_198784","Баргузин"
"doc_mobile_Id_122417","Барда"
"doc_mail_id_m_117134","Барнаул"
"prodoc_813594-dolgov","Барыш"
"doc_mobile_Id_241079","Батагай"
"doc_mobile_Id_238667","Батагай-Алыта"
"doc_mobile_Id_020291","Батайск"
"doc_mobile_Id_262697","Батырево"
"doc_mobile_Id_178793","Бахчисарай"
"doc_mobile_Id_223690","Бачатский"
"doc_mail_id_m_041213","Башмаково"
"doc_mobile_Id_034897","Баяндай"
"doc_mobile_Id_092497","Бежаницы"
"doc_mail_id_m_010619","Бежецк"
"doc_mobile_Id_239484","Бежта"
"doc_mobile_Id_054621","Безбожник"
"doc_apteka_RPS_09032","Безенчук"
"doc_mobile_Id_054591","Безопасное"
"doc_mobile_Id_087312","Белая"
"doc_mail_id_m_095958","Белая Глина"
"doc_mobile_Id_238168","Белая Гора"
"doc_mobile_Id_201363","Белая Калитва"
"doc_mobile_Id_283408","Белая Слобода"
"doc_mail_id_m_100049","Белая Холуница"
"doc_mail_id_m_154859","Белгород"
"prodoc_457934-nikolaev","Белебей"
"doc_mail_id_m_008954","Белев"
"doc_mobile_Id_098600","Белиджи"
"prodoc_944681-tereshkina","Белинский"
"doc_apteka_RPS_new_15264","Белово"
"doc_apteka_RPS_31938","Беловское"
"doc_apteka_RPS_new_21585","Белогорск"
"prodoc_345270-denisenkova","Белогорск (Крым)"
"doc_apteka_RPS_03013","Белозерный"
"prodoc_709462-cvetkova","Белозерск"
"doc_mobile_Id_122018","Белокуриха"
"doc_mail_id_m_101871","Беломорск"
"doc_mobile_Id_194045","Белоозерский"
"doc_mobile_Id_208067","Белорецк"
"doc_apteka_RPS_new_06740","Белореченск"
"doc_apteka_RPS_47079","Белореченский"
"prodoc_812708-yutkin","Белоусово"
"doc_mail_id_m_004593","Белоярский"
"doc_mail_id_m_009518","Белый Яр"
"doc_mobile_Id_238358","Беляевка"
"prodoc_675395-magomedova","Белёв"
"doc_mail_id_m_018655","Бердигестях"
"doc_mobile_Id_158882","Бердск"
"doc_mobile_Id_245203","Бердюжье"
"doc_mobile_Id_311022","Березники"
"doc_mobile_Id_107510","Березовая Роща"
"doc_mail_id_m_094978","Березовка"
"doc_mobile_Id_262809","Березово"
"doc_mobile_Id_077138","Березовский"
"doc_apteka_RPS_new_05232","Березовый"
"doc_apteka_RPS_67383","Береславка"
"prodoc_952149-malolychenko","Берёзовский, Кемеровская Область"
"prodoc_456302-protazanova","Берёзовский, Свердловская Область"
"doc_mobile_Id_280939","Беседино"
"doc_mobile_Id_170790","Беслан"
"doc_mobile_Id_239302","Бессоновка"
"doc_mobile_Id_254854","Бетлица"
"doc_mobile_Id_035044","Бея"
"doc_mobile_Id_053994","Бижбуляк"
"doc_mobile_Id_224990","Бийск"
"prodoc_633087-furtat","Бикин"
"prodoc_665419-saydaliev","Билибино"
"doc_mobile_Id_238653","Бильчир"
"doc_apteka_RPS_06063","Биокомбината"
"doc_mobile_Id_104355","Бира"
"doc_mobile_Id_097052","Биробиджан"
"prodoc_676359-gaynetdinova","Бирск"
"doc_mobile_Id_242432","Бирюч"
"doc_mail_id_m_111197","Бичура"
"doc_mobile_Id_201642","Благовар"
"doc_mail_id_m_117206","Благовещенка"
"doc_mobile_Id_159494","Благовещенск"
"prodoc_610048-lysenko","Благовещенск (Амурская Область)"
"prodoc_1088829-agzamov","Благовещенск(Башк.)"
"doc_mobile_Id_040125","Благодарный"
"doc_mobile_Id_066095","Бобров"
"doc_apteka_RPS_new_02892","Бобья-Уча"
"doc_mail_id_m_033216","Богатое"
"doc_mail_id_m_011953","Богатые Сабы"
"doc_mobile_Id_238221","Богатырев"
"doc_mobile_Id_172882","Богданович"
"doc_apteka_RPS_new_16843","Боголюбово"
"doc_mobile_Id_274591","Богородицк"
"doc_apteka_RPS_06492","Богородск"
"doc_mail_id_m_100157","Богородское"
"doc_mobile_Id_100072","Боготол"
"doc_mobile_Id_251314","Боград"
"doc_mobile_Id_283727","Богучаны"
"prodoc_702758-agarusheva","Богучар"
"prodoc_699055-belik","Бодайбо"
"doc_mobile_Id_108328","Боковская"
"doc_mobile_Id_227196","Бокситогорск"
"prodoc_603050-mursalova","Болгар"
"doc_mobile_Id_171587","Бологое"
"doc_mobile_Id_164463","Болоково"
"doc_mobile_Id_017158","Болотное"
"doc_mobile_Id_268904","Болохово"
"prodoc_702957-ryzhenkova","Болхов"
"doc_apteka_RPS_new_21643","Большая Атня"
"doc_mobile_Id_237532","Большая Глушица"
"doc_mobile_Id_107712","Большая Джалга"
"doc_apteka_RPS_09466","Большая Ижора"
"doc_apteka_RPS_08477","Большая Мартыновка"
"doc_mobile_Id_238249","Большая Орловка"
"doc_apteka_RPS_new_22553","Большая Соснова"
"doc_mobile_Id_226120","Большая Черниговка"
"doc_apteka_RPS_new_12686","Большевик"
"doc_mail_id_m_043691","Большеречье"
"doc_mobile_Id_001678","Большетроицкое"
"doc_mobile_Id_357086","Большеустьикинское"
"doc_apteka_RPS_new_32201","Большие Вяземы"
"doc_mobile_Id_092928","Большие Тарханы"
"doc_mobile_Id_091202","Большие Уки"
"doc_apteka_RPS_new_04606","Большое Болдино"
"doc_mobile_Id_266045","Большое Козино"
"doc_mobile_Id_263991","Большое Мурашкино"
"doc_mobile_Id_347748","Большое Нагаткино"
"doc_apteka_RPS_new_24340","Большое Окулово"
"doc_mobile_Id_026948","Большое Подберезье"
"doc_mobile_Id_050426","Большое Солдатское"
"doc_mobile_Id_196558","Большое Сорокино"
"doc_mail_id_m_038886","Большой Камень"
"doc_apteka_RPS_new_08703","Большой Куганак"
"doc_mobile_Id_306282","Большой Улуй"
"doc_mail_id_m_102927","Большой Царын"
"doc_mobile_Id_242656","Бор"
"doc_mobile_Id_256123","Борзя"
"doc_mail_id_m_092088","Боринское"
"doc_mobile_Id_264126","Борисовка"
